,SOURCE_ID,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
423,782041152928548224,165.75774126224502,44.451546625144005,-3.9332808161745527,-11.302338405131485,1,0,20.286600112915,19.5781993865967,-25.216543953682333,-3.4764984000597834,-4.6490521337030435,-2.993146997513662
424,781858565278893824,164.9286360595959,44.25898446117061,-4.049207780350674,-11.98167013901778,1,0,19.8931999206543,19.3038997650146,-25.790308441976094,-3.230653650045611,-5.241012039268851,-3.319705479136695
425,781802073573480832,164.08093699926707,43.61075900188079,-6.481967595879734,-11.521351957716686,1,0,21.43630027771,19.5785007476807,-26.678951920683858,-3.3062198180244127,-6.792465913982406,-1.226877195719524
426,782031326043490432,165.2824731089286,44.21359197087733,-3.1733003182108037,-11.767157090324845,1,0,16.5867004394531,16.1530990600586,-25.62990170297877,-3.432361189621344,-4.415311210633059,-3.782064175841383
427,781985554576915072,166.696416262541,44.26071958776027,-5.899678669589865,-12.162425803949173,1,0,21.5755004882813,19.5559997558594,-24.83006405135029,-4.05799984057005,-6.640085758250273,-2.492933304174118
428,781869418660756992,164.06884616374074,43.936327235078885,-5.690854562974403,-11.259144416886853,1,0,17.0746002197266,16.4866008758545,-26.466540524959953,-3.059052997789576,-6.03256447134462,-1.5656374836359357
429,782140276480112768,167.6675227166829,45.0651184726521,-5.683773954159555,-11.31437589146001,1,0,,19.9241008758545,-23.781824729969458,-3.8831945935123198,-5.878679072535742,-2.1331750201372515
430,781982943236334976,166.4053414142304,44.10601220087498,-5.76723352315875,-13.496101441498164,1,0,21.2562007904053,19.7119998931885,-25.08995633812134,-4.0407735940242935,-7.421658352181681,-3.5479377628517463
431,781944705143072128,165.68048141961424,43.67622526120474,-6.327324155941087,-11.457730701659624,1,0,19.1284008026123,18.5863990783691,-25.767916962852667,-4.025585281140242,-6.558807650441945,-1.5206208768084342
432,781796953972448512,164.07796454434254,43.460914722298504,-3.6072399981767065,-12.202092816820667,1,0,18.6453990936279,17.9514007568359,-26.781327017664978,-3.4158251005729436,-5.118460441432487,-3.6593161725853633
433,782007514744660864,166.58065895558659,44.54327609654558,-3.1950451065000878,-11.311465004534927,1,0,18.8031005859375,18.3215007781982,-24.710234373601452,-3.7889534695397997,-4.035985557637713,-3.5804912355017517
